epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,323.022,0.30424,0.34298,0.89032,0.99669,1,0.995,0.995,0.15213,0.2773,0.7509,0.00035,0.00035,0.00035
127,325.632,0.33516,0.34895,0.88586,0.99669,1,0.995,0.995,0.15213,0.2773,0.7509,0.0003368,0.0003368,0.0003368
128,328.285,0.25237,0.31552,0.84856,0.9967,1,0.995,0.995,0.14313,0.27669,0.74771,0.0003236,0.0003236,0.0003236
129,330.908,0.32329,0.32035,0.88749,0.99672,1,0.995,0.995,0.13827,0.27424,0.74874,0.0003104,0.0003104,0.0003104
130,333.55,0.27693,0.30824,0.84973,0.99669,1,0.995,0.995,0.14439,0.26958,0.75247,0.0002972,0.0002972,0.0002972
131,336.154,0.2973,0.33678,0.9101,0.99675,1,0.995,0.995,0.14585,0.25858,0.7503,0.000284,0.000284,0.000284
132,338.785,0.30131,0.31094,0.82384,0.99675,1,0.995,0.995,0.14585,0.25858,0.7503,0.0002708,0.0002708,0.0002708
133,341.397,0.31149,0.33625,0.86635,0.99676,1,0.995,0.995,0.14233,0.25213,0.7491,0.0002576,0.0002576,0.0002576
134,344.046,0.27675,0.31555,0.84348,0.99673,1,0.995,0.995,0.141,0.24278,0.74589,0.0002444,0.0002444,0.0002444
135,346.656,0.30127,0.3309,0.88645,0.99671,1,0.995,0.995,0.14243,0.24562,0.74454,0.0002312,0.0002312,0.0002312
136,349.318,0.31191,0.3475,0.88937,0.99673,1,0.995,0.995,0.14386,0.24642,0.74492,0.000218,0.000218,0.000218
137,351.922,0.2579,0.31536,0.86315,0.99673,1,0.995,0.995,0.14386,0.24642,0.74492,0.0002048,0.0002048,0.0002048
138,354.582,0.34069,0.332,0.89105,0.99675,1,0.995,0.995,0.14699,0.24757,0.74175,0.0001916,0.0001916,0.0001916
139,357.216,0.30961,0.32642,0.88209,0.99674,1,0.995,0.995,0.1512,0.24049,0.74112,0.0001784,0.0001784,0.0001784
140,359.86,0.3535,0.35697,0.93757,0.99672,1,0.995,0.995,0.15337,0.24203,0.74061,0.0001652,0.0001652,0.0001652
141,362.607,0.19238,0.31872,0.77229,0.99673,1,0.995,0.995,0.1561,0.24241,0.74024,0.000152,0.000152,0.000152
142,365.267,0.18374,0.30007,0.78642,0.99671,1,0.995,0.995,0.15821,0.23718,0.74221,0.0001388,0.0001388,0.0001388
143,367.873,0.15576,0.28943,0.75252,0.99671,1,0.995,0.995,0.15821,0.23718,0.74221,0.0001256,0.0001256,0.0001256
144,370.487,0.15685,0.276,0.78214,0.99674,1,0.995,0.995,0.15754,0.23942,0.74265,0.0001124,0.0001124,0.0001124
145,373.141,0.14942,0.28201,0.73874,0.99671,1,0.995,0.995,0.15486,0.23371,0.74279,9.92e-05,9.92e-05,9.92e-05
146,375.773,0.15751,0.27623,0.74332,0.99674,1,0.995,0.995,0.15346,0.23294,0.74293,8.6e-05,8.6e-05,8.6e-05
147,378.405,0.1662,0.28195,0.78752,0.9967,1,0.995,0.995,0.14985,0.23168,0.74309,7.28e-05,7.28e-05,7.28e-05
148,381.003,0.16798,0.28363,0.77425,0.9967,1,0.995,0.995,0.14985,0.23168,0.74309,5.96e-05,5.96e-05,5.96e-05
149,383.644,0.16322,0.29118,0.74497,0.99673,1,0.995,0.995,0.14901,0.22966,0.74283,4.64e-05,4.64e-05,4.64e-05
150,386.26,0.16483,0.28613,0.8081,0.99675,1,0.995,0.995,0.15025,0.23034,0.74292,3.32e-05,3.32e-05,3.32e-05
